Emotion,Precision,Recall,F1-Score,Support,Threshold,Class_Distribution
gratitude,0.8824110671936759,0.7535864978902953,0.812926718252162,1185,0.5,0.08076504284429295
love,0.5923236514522822,0.684652278177458,0.6351501668520578,834,0.5,0.04364910287364484
amusement,0.5841889117043121,0.6171366594360087,0.6002109704641351,922,0.5,0.0368792311698149
fear,0.5572139303482587,0.36012861736334406,0.4375,311,0.5,0.06504757846896747
admiration,0.7064777327935222,0.20457209847596716,0.31727272727272726,1706,0.5,0.08218529564929224
optimism,0.6402877697841727,0.20601851851851852,0.3117338003502627,864,0.5,0.02689011977465322
sadness,0.6277777777777778,0.1656891495601173,0.26218097447795824,682,0.5,0.036263788287648535
desire,0.5177304964539007,0.17548076923076922,0.2621184919210054,416,0.5,0.04544808975997727
curiosity,0.4628099173553719,0.175,0.25396825396825395,960,0.5,0.019694172229323487
anger,0.4276729559748428,0.17458279845956354,0.2479489516864175,779,0.5,0.04137669838564598
joy,0.5482456140350878,0.15842839036755388,0.24582104228121926,789,0.5,0.05425365715097287
surprise,0.5642857142857143,0.13644214162348878,0.21974965229485396,579,0.5,0.0243336647256545
caring,0.31092436974789917,0.13028169014084506,0.18362282878411912,568,0.5,0.010509870756994746
confusion,0.4,0.10443864229765012,0.16563146997929606,766,0.5,0.028215689059319225
remorse,0.4107142857142857,0.0942622950819672,0.15333333333333332,244,0.5,0.014723287411825972
embarrassment,0.7727272727272727,0.07657657657657657,0.13934426229508196,222,0.5,0.05609998579747195
disgust,0.6666666666666666,0.058365758754863814,0.1073345259391771,514,0.5,0.0026037968091653647
excitement,0.5769230769230769,0.050335570469798654,0.09259259259259259,596,0.5,0.037352648771481325
realization,0.4411764705882353,0.017084282460136675,0.03289473684210526,878,0.5,0.03948302797898026
approval,0.9259259259259259,0.014400921658986175,0.02836074872376631,1736,0.5,0.008284808029162524
disapproval,0.36363636363636365,0.010471204188481676,0.020356234096692113,1146,0.5,0.04090328078397955
relief,0.0,0.0,0.0,140,0.5,0.005681011219997159
grief,0.0,0.0,0.0,55,0.5,0.04156606542631255
pride,0.0,0.0,0.0,120,0.5,0.006627846423330019
nervousness,0.0,0.0,0.0,175,0.5,0.011551389480660892
annoyance,0.0,0.0,0.0,1374,0.5,0.03228708043365052
disappointment,0.0,0.0,0.0,874,0.5,0.027410879136486294
neutral,0.0,0.0,0.0,5598,0.5,0.2650191734128675
