Emotion,Precision,Recall,F1-Score,Support,Threshold,Class_Distribution
gratitude,0.8885542168674698,0.7468354430379747,0.811554332874828,1185,0.5,0.08076504284429295
love,0.61375,0.5887290167865707,0.6009791921664627,834,0.5,0.04364910287364484
amusement,0.5851472471190781,0.4956616052060738,0.5366999412800939,922,0.5,0.0368792311698149
fear,0.5373134328358209,0.34726688102893893,0.421875,311,0.5,0.06504757846896747
admiration,0.6810897435897436,0.24912075029308323,0.3648068669527897,1706,0.5,0.08218529564929224
optimism,0.5772357723577236,0.2465277777777778,0.34549878345498786,864,0.5,0.02689011977465322
sadness,0.5708502024291497,0.20674486803519063,0.30355220667384286,682,0.5,0.036263788287648535
anger,0.39950980392156865,0.2092426187419769,0.2746419545071609,779,0.5,0.04544808975997727
remorse,0.42857142857142855,0.19672131147540983,0.2696629213483146,244,0.5,0.019694172229323487
joy,0.5112781954887218,0.17237008871989862,0.25781990521327014,789,0.5,0.04137669838564598
curiosity,0.4253731343283582,0.178125,0.2511013215859031,960,0.5,0.05425365715097287
surprise,0.4630541871921182,0.16234887737478412,0.24040920716112532,579,0.5,0.0243336647256545
desire,0.45652173913043476,0.15144230769230768,0.22743682310469315,416,0.5,0.010509870756994746
embarrassment,0.625,0.13513513513513514,0.2222222222222222,222,0.5,0.028215689059319225
confusion,0.3736654804270463,0.1370757180156658,0.20057306590257878,766,0.5,0.014723287411825972
caring,0.33170731707317075,0.11971830985915492,0.1759379042690815,568,0.5,0.05609998579747195
disgust,0.5666666666666667,0.09922178988326848,0.16887417218543047,514,0.5,0.0026037968091653647
pride,0.6923076923076923,0.075,0.13533834586466165,120,0.5,0.037352648771481325
excitement,0.45161290322580644,0.07046979865771812,0.12191582002902758,596,0.5,0.03948302797898026
disappointment,0.4583333333333333,0.05034324942791762,0.09072164948453608,874,0.5,0.008284808029162524
disapproval,0.29411764705882354,0.04363001745200698,0.07598784194528875,1146,0.5,0.04090328078397955
realization,0.3291139240506329,0.029612756264236904,0.054336468129571575,878,0.5,0.005681011219997159
nervousness,0.45454545454545453,0.02857142857142857,0.053763440860215055,175,0.5,0.04156606542631255
approval,0.5714285714285714,0.02534562211981567,0.04853833425261997,1736,0.5,0.006627846423330019
annoyance,0.38,0.013828238719068414,0.026685393258426966,1374,0.5,0.011551389480660892
relief,0.3333333333333333,0.007142857142857143,0.013986013986013986,140,0.5,0.03228708043365052
grief,0.0,0.0,0.0,55,0.5,0.027410879136486294
neutral,0.0,0.0,0.0,5598,0.5,0.2650191734128675
