Emotion,Precision,Recall,F1-Score,Support,Threshold,Class_Distribution
gratitude,0.8537956888472352,0.7687763713080169,0.8090586145648313,1185,0.40923410654067993,0.08076504284429295
love,0.5390693590869183,0.7362110311750599,0.6224024328433857,834,0.32501161098480225,0.04364910287364484
amusement,0.5207373271889401,0.735357917570499,0.6097122302158273,922,0.23219560086727142,0.0368792311698149
admiration,0.49793388429752067,0.5650644783118406,0.5293794618341571,1706,0.14117106795310974,0.06504757846896747
neutral,0.39148013016467803,0.7091818506609503,0.504479318889383,5598,0.04185207188129425,0.08218529564929224
remorse,0.40978593272171254,0.5491803278688525,0.46935201401050786,244,0.2163560390472412,0.02689011977465322
fear,0.4025641025641026,0.5048231511254019,0.4479315263908702,311,0.44233259558677673,0.036263788287648535
optimism,0.45767575322812054,0.36921296296296297,0.40871236386931453,864,0.16098026931285858,0.04544808975997727
sadness,0.33002207505518766,0.43841642228739003,0.3765743073047859,682,0.23071128129959106,0.019694172229323487
joy,0.39330543933054396,0.3574144486692015,0.3745019920318725,789,0.20749759674072266,0.04137669838564598
surprise,0.3256484149855908,0.3903281519861831,0.35506677140612725,579,0.10823746025562286,0.05425365715097287
anger,0.29417206290471787,0.40821566110397944,0.3419354838709677,779,0.3152450621128082,0.0243336647256545
curiosity,0.28888888888888886,0.35208333333333336,0.3173708920187793,960,0.2977345287799835,0.010509870756994746
desire,0.3217821782178218,0.3125,0.3170731707317073,416,0.19435802102088928,0.028215689059319225
embarrassment,0.4144144144144144,0.2072072072072072,0.27627627627627627,222,0.26915833353996277,0.014723287411825972
disgust,0.26499032882011603,0.26653696498054474,0.26576139670223087,514,0.2407122552394867,0.05609998579747195
caring,0.2345679012345679,0.301056338028169,0.2636854279105628,568,0.2934684753417969,0.0026037968091653647
disapproval,0.20913336792942397,0.35165794066317624,0.26228441262609825,1146,0.15037068724632263,0.037352648771481325
excitement,0.2089227421109902,0.3221476510067114,0.25346534653465347,596,0.13271822035312653,0.03948302797898026
annoyance,0.2181913774973712,0.302037845705968,0.25335775335775335,1374,0.17391620576381683,0.008284808029162524
confusion,0.21550094517958412,0.29765013054830286,0.25,766,0.23456238210201263,0.04090328078397955
approval,0.1614162978391044,0.35714285714285715,0.22234176080329926,1736,0.086869977414608,0.005681011219997159
disappointment,0.17090069284064666,0.2540045766590389,0.2043258168430741,874,0.1786172091960907,0.04156606542631255
nervousness,0.14545454545454545,0.22857142857142856,0.17777777777777778,175,0.14418703317642212,0.006627846423330019
realization,0.12949640287769784,0.26651480637813213,0.17430167597765364,878,0.10864236950874329,0.011551389480660892
pride,0.325,0.10833333333333334,0.1625,120,0.07879674434661865,0.03228708043365052
relief,0.0967741935483871,0.2571428571428571,0.140625,140,0.03666640445590019,0.027410879136486294
grief,0.08108108108108109,0.10909090909090909,0.09302325581395349,55,0.0984385535120964,0.2650191734128675
